Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls,year
Ancient greek and roman studies,3.58 - 3.97,0.333333333,masked,0.5,6,18,3,2022
Cognitive science,3.57 - 3.95,0.176744186,3.58 - 3.94,0.578947368,38,215,22,2022
Global studies,3.62 - 4.00,0.385786802,3.48 - 4.00,0.513157895,76,197,39,2022
Interdisciplinary studies,3.53 - 3.92,0.588235294,3.38 - 3.91,0.814285714,70,119,57,2022
Nutritional science,3.54 - 3.72,0.083333333,3.39 - 3.85,0.777777778,9,108,7,2022
Legal studies,3.60 - 3.94,0.309352518,3.54 - 3.91,0.674418605,43,139,29,2022
English,3.50 - 3.93,0.642276423,3.41 - 3.88,0.496835443,316,492,157,2022
History,3.64 - 3.94,0.483108108,3.53 - 3.97,0.440559441,143,296,63,2022
Philosophy,3.54 - 3.90,0.585964912,3.47 - 3.86,0.556886228,167,285,93,2022
Rhetoric,3.45 - 3.91,0.75,3.46 - 3.91,0.736111111,72,96,53,2022
Applied mathematics,3.75 - 3.98,0.508333333,3.75 - 3.98,0.715846995,183,360,131,2022
Mathematics,3.66 - 3.95,0.496,3.61 - 3.92,0.612903226,124,250,76,2022
Statistics,3.83 - 4.00,0.506666667,3.79 - 4.00,0.684210526,76,150,52,2022
Chemical biology,3.79 - 4.00,0.184357542,3.76 - 3.87,0.242424242,33,179,8,2022
chemistry(college of chem),3.75 - 4.00,0.252688172,3.56 - 4.00,0.510638298,47,186,24,2022
Materials science & engineering,3.64 - 3.87,0.28125,3.71 - 3.94,0.777777778,9,32,7,2022
Astrophysics,3.39 - 3.80,0.641509434,3.29 - 3.80,0.676470588,34,53,23,2022
chemistry(college of l&s),3.64 - 3.87,0.571428571,3.60 - 3.86,0.75,8,14,6,2022
Geology,3.39 - 3.87,0.48,3.34 - 3.61,0.416666667,12,25,5,2022
Physics,3.46 - 3.87,0.356643357,3.45 - 3.83,0.764705882,51,143,39,2022
Psychology,3.72 - 4.00,0.046272494,3.70 - 4.00,0.694444444,72,1556,50,2022
Social welfare,3.50 - 3.91,0.380530973,3.40 - 3.91,0.76744186,43,113,33,2022
Public health,3.69 - 3.92,0.208029197,3.71 - 3.92,0.438596491,57,274,25,2022
Urban studies,3.52 - 3.95,0.261904762,3.47 - 3.91,0.636363636,11,42,7,2022
Anthropology,3.62 - 3.95,0.437288136,3.47 - 3.95,0.457364341,129,295,59,2022
Economics,3.77 - 4.00,0.137083994,3.77 - 4.00,0.815028902,173,1262,141,2022
Political economy,3.61 - 4.00,0.423913043,3.52 - 3.92,0.692307692,39,92,27,2022
Political science,3.70 - 4.00,0.210332103,3.53 - 3.94,0.504385965,228,1084,115,2022
Sociology,3.73 - 4.00,0.19037871,3.66 - 3.95,0.5,186,977,93,2022
