Major name,Admit GPA range,Admit rate,Enroll GPA range,Yield rate,Admits,Applicants,Enrolls
Astrophysics,3.47 - 3.94,0.362068966,3.49 - 3.94,0.666666667,21,58,14
chemistry(college of l&s),3.38 - 3.87,0.59375,3.25 - 3.78,0.473684211,19,32,9
Geology,masked,0.210526316,masked,1.0,4,19,4
Physics,3.43 - 3.88,0.375,3.46 - 3.90,0.623188406,69,184,43
Psychology,3.78 - 3.93,0.081196581,3.74 - 3.92,0.652631579,95,1170,62
Social welfare,3.47 - 3.93,0.404494382,3.51 - 3.95,0.666666667,36,89,24
Public health,3.51 - 3.85,0.261363636,3.46 - 3.86,0.5,46,176,23
Urban studies,masked,0.093023256,masked,1.0,4,43,4
Anthropology,3.70 - 3.95,0.28342246,3.62 - 3.94,0.471698113,106,374,50
Economics,3.81 - 4.00,0.194065758,3.80 - 4.00,0.752066116,242,1247,182
Political economy,3.71 - 3.93,0.268456376,3.75 - 3.93,0.625,40,149,25
Political science,3.74 - 4.00,0.292639138,3.70 - 3.93,0.54601227,326,1114,178
Sociology,3.68 - 3.94,0.247342995,3.55 - 3.93,0.46875,256,1035,120
